zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
44064,4.4,90.9,18.4
68939,7.2,92,16.7
77984,5.8,86.2,21.9
65702,0,57.5,1.7
04973,4.6,93.1,25.5
30322,0,100,64.4
55319,8.2,94.9,24.9
05341,15.7,95.6,38.2
77951,0,68.3,4
93252,1.3,71.4,7.2
76061,0,100,0
62035,9.2,95.7,25.7
86046,8.3,92.2,28
50104,6.3,98.4,20.3
92339,16.1,98.9,40.3
94563,39.4,98.3,80.6
14215,6.4,86.8,16.3
07603,9.8,88.6,28.8
33549,15.1,93.4,37.5
14840,15.7,92.7,32.9
35007,11.6,87.7,29.5
57481,4.2,97,12.1
68147,4.2,86.5,18.1
65785,5.2,84.4,14
98351,12.7,90.7,29.4
36580,5.5,86.7,16.3
08251,4.4,85.5,16.2
25559,3.4,84.5,5.9
56147,0,91.1,10.8
30464,0,75,14.3
23085,14.1,92.5,16.4
98320,11.3,88.2,25.2
56354,7.5,92.6,21.1
95490,8.4,89,22.8
82052,50,100,50
71369,2.9,68.8,6.8
56533,3.6,96.9,17
96135,0,100,61
39119,5.2,77.9,16.8
08074,50,50,50
93501,2.1,71.8,9.1
46799,1.3,84.1,6
78552,6.9,75.7,21.5
52257,3.4,99.2,5
39561,3.3,85.5,11
30619,13.5,78,21
42236,5.1,76.9,18.2
33469,16.3,96.6,48.1
49872,0,88.2,5.9
34436,5.5,84,11.1
49336,2.5,83.8,8.9
65680,3.6,85.5,13.6
92139,4.3,80.9,21.2
89835,1.1,87.4,12.6
94925,29.5,97.9,67.5
37803,11.8,92.6,29
33140,27.8,91.7,55.5
72533,1.5,63,9.9
21223,3.9,68.6,9.9
40854,9.3,80.9,17.2
77081,6,64.2,20.1
28643,4.7,83.9,11.1
81432,19.1,98.6,50
86053,0.8,61.3,4.4
75670,3.6,75.5,12.8
11096,5.7,75.5,14.8
57015,5.2,94.8,23.5
97906,1,86.6,15.5
65014,3,87.9,13.1
32206,4.7,77.1,14.2
39470,4.9,84,15.3
60453,10.4,90.4,28.7
31647,3.3,72.8,8.8
12775,19.3,96.6,41.1
05901,0,90.5,9.5
63463,1.8,87.6,12.4
37641,5.8,83.4,16.4
83676,6.3,76,14.1
65584,9.7,88.5,29.9
23856,4.7,81.8,19.1
32433,3.7,75.5,8.4
06473,18.6,95.1,40.6
92843,3.3,66.7,15.7
40995,0,52.6,0
58052,2.5,93.7,17.9
28544,4.1,82.3,15.2
58785,4.9,91.9,17.7
12482,0,63.2,2.5
80007,29.4,97.7,60.7
62545,3.3,96.7,17.1
44826,3,88.3,7.9
68504,8.6,90.8,27.1
74053,6.1,91.4,26.2
19604,2.5,65.9,8.5
46404,5,86.8,13.1
48509,6.6,91.4,16.8
36542,11,95.2,34
80005,16.1,97.5,45.9
68653,0.7,90.1,11.6
64481,6.5,91.3,13.8
08858,89.5,100,89.5
52339,4.6,86.3,12.7
21042,40.1,97.1,70.8
71432,1.7,81.4,7.4
67206,26.5,96.2,59.5
93513,9.5,88.6,18.8
22911,25.3,90.7,53.9
53929,4.5,84.1,16.2
32303,15.2,93.7,41.2
95917,1.1,73,6.3
14505,8.8,90.4,22.2
65441,3.8,80.6,9.7
71040,4.7,79.6,13.1
49864,0,82.1,7.1
71943,6.4,77.6,13.8
52245,32.9,97.3,66.5
28906,7.3,87.4,20.6
68928,6.8,93.5,25.9
54107,5.4,92.1,16.9
58734,0,82.4,8.4
62808,3.9,88.9,12.8
28747,5.5,81.5,13.6
06475,17.8,94.2,42.6
28707,20.9,100,42.6
41622,0,89.8,5.1
99751,4.8,80.6,4.8
59531,0,92.4,21.2
56177,0,85.4,22
55433,6.1,92.2,23.6
56575,6.8,93.9,30
26030,3.7,85,9.5
57068,7.7,94.9,23.4
23175,7.4,89.3,23.1
19134,2.7,67.1,10.2
41262,13.1,61.1,16.6
54658,6.3,94.1,22.5
38231,4,80.1,10.6
66202,16.5,93.7,46.5
22003,22.3,85.3,48.4
95325,0,100,0
74107,4.7,86.6,16.7
57021,1.4,95,16.3
95041,10.5,66.5,23.9
11530,32.1,97.3,68
93023,18,91.6,41.9
01030,10.1,94,31.4
19807,41.1,98.1,77.6
66522,0,61.9,0
37694,3,81.3,7.7
49895,5.3,89.1,16.2
51062,4.7,95.7,16.5
17241,5.4,83,14.1
77541,1.7,72.7,8.8
16826,2.4,91.3,9.2
62428,5.9,84.9,14.6
08505,14.4,95.4,41.6
51103,2.4,73,9.7
63129,13.2,94.9,37.6
32427,3.9,71.7,7.9
65066,5.8,85.4,15.5
48206,5.5,80.2,12.7
30427,4.6,74.8,13.2
87375,0.5,78.3,4.3
35118,5,81,11.2
89128,11.1,90.5,29.9
77469,10.2,84.2,31.8
70538,4,82.1,11.5
25088,0,84.3,0
44509,2.7,87,10.2
63435,9,87.8,24.7
34695,15.5,94.7,41.8
66714,1.1,82.8,1.1
63089,9.3,88.5,18.2
85143,6.4,91.2,18.9
50278,2.6,93,20.8
69343,5.6,89.3,24.8
12459,27.8,82.3,27.8
81625,5.2,90.1,17.1
04611,6.6,84.7,21.5
51521,8.1,92.2,26.3
94930,24.3,97.1,61.2
60109,9.5,94.4,30.9
89081,5.3,86.7,19.1
75630,4,89.5,16.5
03229,29.6,99,57.2
68969,0,83.7,25.6
57430,4.1,92.4,19.4
01027,12.8,95.2,35.5
30558,2.5,77.4,11.2
67151,7.9,97.6,28.2
74012,9.9,93.7,33.4
43333,5.2,95.6,9.1
77865,2,86.2,16.1
54011,5.3,93,18.9
55904,9.1,89.7,23.9
22845,0,100,0
73772,4.4,79.7,12.5
81325,2.1,83.4,2.1
04774,2.2,80.6,10.9
85379,7.3,93,24.1
21114,24.8,97.2,58.6
98506,17.2,94.1,43.8
78570,3.5,59.5,10.8
62275,5.2,90.5,15.4
51565,3,89.3,16.9
52658,3.3,93.3,12.9
15475,5,85.8,10.8
78405,1.4,53.4,4.5
30188,12.6,93.2,39.9
15547,2.3,91.4,8.6
67437,8.6,94.9,22.4
28508,2.2,68.9,8
85120,4.9,85.6,13.6
74145,6.5,89.1,26.2
05839,12.2,84.9,29.3
12910,5.8,80.9,10.3
04430,2.7,92.3,11.5
74108,1.8,83.2,11.6
87528,5,87.6,11.2
65760,1.1,97,1.7
15530,4.9,87.8,14.7
15432,3.7,88.7,11.6
23518,9.3,88.2,28.1
23415,1.2,86.8,12.7
95925,11.9,87.5,45.6
56149,3.8,93.4,20.9
11418,10.1,77.4,27.8
