number_of_fastfood,zip_code1,zip_code
1,19147,19147
2,19148,19148
2,1915,1915
1,19150,19150
1,19152,19152
2,19153,19153
2,19154,19154
1,1923,1923
1,19320,19320
1,19341,19341
1,19355,19355
1,19382,19382
1,19401,19401
1,19403,19403
2,19428,19428
1,19446,19446
1,19468,19468
1,19526,19526
1,19530,19530
1,1960,1960
1,19605,19605
2,19606,19606
1,19607,19607
1,19611,19611
1,19702,19702
4,19711,19711
1,19806,19806
1,19808,19808
3,19901,19901
1,19930,19930
2,19934,19934
1,19952,19952
2,19963,19963
3,19966,19966
1,19966-4737,19966
6,19971,19971
2,19973,19973
2,19975,19975
1,19977,19977
1,19980,19980
1,20001,20001
5,20002,20002
1,20004,20004
1,20005,20005
2,20006,20006
1,20007,20007
1,20008,20008
1,20009,20009
2,20011,20011
1,20015,20015
3,20016,20016
1,20017,20017
1,20020,20020
5,20109,20109
1,20110,20110
1,20115,20115
1,20121,20121
1,20135,20135
2,20151,20151
2,20155,20155
1,20165,20165
1,20166,20166
1,20169,20169
2,20170,20170
2,20171,20171
3,20186,20186
1,20187,20187
1,20194,20194
2,2032,2032
1,2035,2035
3,2038,2038
2,2053,2053
2,20646,20646
3,20650,20650
1,20653,20653
1,20659,20659
2,20678,20678
1,20688,20688
1,20705,20705
1,20714,20714
1,2072,2072
1,20723,20723
1,20733,20733
1,20740,20740
5,20743,20743
1,20745,20745
1,20746,20746
1,20770,20770
2,20772,20772
3,20782,20782
1,20784,20784
2,20785,20785
1,20794,20794
1,20814,20814
1,20817,20817
1,20850,20850
3,20852,20852
1,20855,20855
2,20874,20874
1,20876,20876
3,20877,20877
1,20879,20879
1,20886,20886
1,20901,20901
2,20902,20902
1,20904,20904
2,20906,20906
1,20910,20910
1,21001,21001
2,21015,21015
2,21029,21029
2,21030,21030
1,21042,21042
3,21044,21044
1,21046,21046
1,21060,21060
2,21061,21061
2,21074,21074
2,21075,21075
3,2108,2108
1,21085,21085
2,2109,2109
1,21090,21090
1,21093,21093
1,2110,2110
1,2111,2111
1,21117,21117
2,21122,21122
1,21146,21146
3,21157,21157
4,21204,21204
2,21207,21207
2,21208,21208
1,21210,21210
1,21214,21214
1,21215,21215
1,21221,21221
1,21222,21222
1,21223,21223
1,21227,21227
1,21230,21230
1,21231,21231
1,21234,21234
2,21236,21236
2,21237,21237
1,21244,21244
3,21286,21286
1,2131,2131
2,2132,2132
1,2134,2134
2,21401,21401
1,21409,21409
2,2143,2143
1,2150,2150
4,21502,21502
1,2151,2151
1,21532,21532
3,2155,2155
2,21601,21601
4,2169,2169
1,2170,2170
3,21701,21701
2,21702,21702
2,21703,21703
3,21704,21704
2,2171,2171
5,21740,21740
1,21742,21742
1,21750,21750
1,21771,21771
1,21774,21774
1,21784,21784
5,21801,21801
1,21804,21804
1,2184,2184
8,21842,21842
2,21853,21853
1,21875,21875
1,2189,2189
1,2190,2190
3,21921,21921
1,22015,22015
1,22025,22025
1,22026,22026
3,22031,22031
2,22033,22033
1,22042,22042
1,22046,22046
1,22134,22134
1,2215,2215
1,22150,22150
1,22151,22151
1,22182,22182
2,22191,22191
1,22192,22192
1,22193,22193
1,22202,22202
2,22203,22203
1,22306,22306
1,22315,22315
2,22401,22401
2,22405,22405
1,22406,22406
3,22407,22407
2,22408,22408
1,22427,22427
1,22485,22485
2,22554,22554
1,22556,22556
1,22560,22560
1,22565,22565
3,22601,22601
3,22603,22603
2,22630,22630
1,22645,22645
1,22655,22655
1,22664,22664
4,22701,22701
3,22801,22801
1,22812,22812
3,22835,22835
1,22841,22841
1,22844,22844
3,22901,22901
2,22902,22902
1,22903,22903
2,22911,22911
1,22939,22939
3,22942,22942
1,22960,22960
2,22980,22980
1,23005,23005
1,2301,2301
2,2302,2302
2,23059,23059
2,23060,23060
5,23061,23061
2,23111,23111
6,23112,23112
2,23113,23113
15,23185,23185
1,23188,23188
1,23219,23219
1,23221,23221
1,23225,23225
1,23228,23228
