number_of_fastfood,zip_code1,zip_code,county,state
1,27260,27260,Guilford County,NC
2,27262,27262,Guilford County,NC
2,27263,27263,Randolph County,NC
1,27265,27265,Guilford County,NC
2,27278,27278,Orange County,NC
4,27284,27284,Forsyth County,NC
5,27288,27288,Rockingham County,NC
5,27292,27292,Davidson County,NC
2,27295,27295,Davidson County,NC
1,27310,27310,Guilford County,NC
2,27312,27312,Chatham County,NC
1,27316,27316,Randolph County,NC
4,27317,27317,Randolph County,NC
7,27320,27320,Rockingham County,NC
1,27332,27332,Lee County,NC
2,27344,27344,Chatham County,NC
1,27377,27377,Guilford County,NC
1,2740,2740,Bristol County,MA
2,27406,27406,Guilford County,NC
3,27409,27409,Guilford County,NC
1,2744,2744,Bristol County,MA
1,27455,27455,Guilford County,NC
1,2746,2746,Bristol County,MA
1,27502,27502,Wake County,NC
2,27504,27504,Johnston County,NC
3,27511,27511,Wake County,NC
1,27513,27513,Wake County,NC
1,27514,27514,Orange County,NC
1,27518,27518,Wake County,NC
1,27520,27520,Johnston County,NC
1,27523,27523,Wake County,NC
1,27526,27526,Wake County,NC
4,27529,27529,Wake County,NC
2,27530,27530,Wayne County,NC
1,27534,27534,Wayne County,NC
2,27536,27536,Vance County,NC
1,27545,27545,Wake County,NC
1,27546,27546,Harnett County,NC
1,27549,27549,Franklin County,NC
1,27560,27560,Wake County,NC
4,27565,27565,Granville County,NC
3,27577,27577,Johnston County,NC
1,27587,27587,Wake County,NC
1,27597,27597,Wake County,NC
2,27604,27604,Wake County,NC
2,27609,27609,Wake County,NC
1,27610,27610,Wake County,NC
1,27612,27612,Wake County,NC
3,27613,27613,Wake County,NC
2,27615,27615,Wake County,NC
2,27616,27616,Wake County,NC
1,2762,2762,Norfolk County,MA
1,2767,2767,Bristol County,MA
1,27701,27701,Durham County,NC
2,27703,27703,Durham County,NC
2,27704,27704,Durham County,NC
2,27705,27705,Durham County,NC
2,27707,27707,Durham County,NC
1,27713,27713,Durham County,NC
2,2777,2777,Bristol County,MA
3,27801,27801,Edgecombe County,NC
4,27834,27834,Pitt County,NC
1,27856,27856,Nash County,NC
3,27858,27858,Pitt County,NC
8,27870,27870,Halifax County,NC
1,27889,27889,Beaufort County,NC
2,27892,27892,Martin County,NC
3,27893,27893,Wilson County,NC
4,27909,27909,Pasquotank County,NC
2,27910,27910,Hertford County,NC
1,27949,27949,Dare County,NC
1,27959,27959,Dare County,NC
3,27962,27962,Washington County,NC
4,28001,28001,Stanly County,NC
1,28006,28006,Gaston County,NC
1,28012,28012,Gaston County,NC
1,28023,28023,Rowan County,NC
2,28025,28025,Cabarrus County,NC
1,28027,28027,Cabarrus County,NC
1,28034,28034,Gaston County,NC
1,28037,28037,Lincoln County,NC
2,28043,28043,Rutherford County,NC
2,28052,28052,Gaston County,NC
3,28054,28054,Gaston County,NC
1,28075-7526,28075,Cabarrus County,NC
2,28078,28078,Mecklenburg County,NC
1,28079,28079,Union County,NC
3,28083,28083,Cabarrus County,NC
1,28097,28097,Stanly County,NC
2,28104,28104,Union County,NC
2,28105,28105,Mecklenburg County,NC
5,28110,28110,Union County,NC
3,28117,28117,Iredell County,NC
1,28134,28134,Mecklenburg County,NC
1,28137,28137,Stanly County,NC
1,28139,28139,Rutherford County,NC
2,28144,28144,Rowan County,NC
3,28147,28147,Rowan County,NC
2,28150,28150,Cleveland County,NC
3,28152,28152,Cleveland County,NC
1,28159,28159,Rowan County,NC
1,2816,2816,Kent County,RI
1,28170,28170,Anson County,NC
1,28174,28174,Union County,NC
1,28206,28206,Mecklenburg County,NC
1,28208,28208,Mecklenburg County,NC
1,28210,28210,Mecklenburg County,NC
1,28211,28211,Mecklenburg County,NC
2,28215,28215,Mecklenburg County,NC
1,28226,28226,Mecklenburg County,NC
1,28262,28262,Mecklenburg County,NC
1,28269,28269,Mecklenburg County,NC
1,28273,28273,Mecklenburg County,NC
1,28301,28301,Cumberland County,NC
2,28303,28303,Cumberland County,NC
3,28306,28306,Bladen County,NC
1,28307,28307,Cumberland County,NC
1,28314,28314,Cumberland County,NC
1,28315,28315,Moore County,NC
1,28327,28327,Moore County,NC
1,28334,28334,Sampson County,NC
1,28337,28337,Bladen County,NC
1,28345,28345,Richmond County,NC
6,28352,28352,Scotland County,NC
1,28365,28365,Wayne County,NC
1,28377,28377,Robeson County,NC
2,28379,28379,Richmond County,NC
1,28384,28384,Bladen County,NC
1,28390,28390,Harnett County,NC
1,28401,28401,New Hanover County,NC
2,28403,28403,New Hanover County,NC
2,28405,28405,New Hanover County,NC
1,2842,2842,Newport County,RI
2,28425,28425,Pender County,NC
1,28428,28428,New Hanover County,NC
1,28445,28445,Onslow County,NC
8,28451,28451,Brunswick County,NC
1,28461,28461,Brunswick County,NC
1,28501,28501,Lenoir County,NC
1,2852,2852,Washington County,RI
1,28532,28532,Craven County,NC
2,28540,28540,Onslow County,NC
1,28544,28544,Onslow County,NC
2,28546,28546,Onslow County,NC
2,28547,28547,Onslow County,NC
1,28557,28557,Carteret County,NC
1,28562,28562,Craven County,NC
4,28584,28584,Carteret County,NC
3,28601,28601,Catawba County,NC
3,28602,28602,Catawba County,NC
9,28607,28607,Watauga County,NC
1,2861,2861,Providence County,RI
1,28613,28613,Catawba County,NC
1,28625,28625,Iredell County,NC
1,2863,2863,Providence County,RI
1,28638,28638,Caldwell County,NC
3,28645,28645,Caldwell County,NC
1,2865,2865,Providence County,RI
3,28655,28655,Burke County,NC
2,28659,28659,Wilkes County,NC
2,28677,28677,Iredell County,NC
1,28681,28681,Alexander County,NC
1,28704,28704,Buncombe County,NC
2,28713,28713,Swain County,NC
1,28716,28716,Haywood County,NC
1,28719,28719,Jackson County,NC
1,28731,28731,Henderson County,NC
6,28734,28734,Macon County,NC
3,28752,28752,McDowell County,NC
1,28759,28759,Henderson County,NC
1,28768,28768,Transylvania County,NC
1,28777,28777,Mitchell County,NC
2,28779,28779,Jackson County,NC
4,28786,28786,Haywood County,NC
1,28787,28787,Buncombe County,NC
1,28792,28792,Henderson County,NC
4,28803,28803,Buncombe County,NC
1,2886,2886,Kent County,RI
1,28906,28906,Cherokee County,NC
1,2891,2891,Washington County,RI
1,2893,2893,Kent County,RI
2,2895,2895,Providence County,RI
3,29006,29006,Lexington County,SC
2,29010,29010,Lee County,SC
7,29020,29020,Kershaw County,SC
1,2903,2903,Providence County,RI
3,2904,2904,Providence County,RI
1,29042,29042,Bamberg County,SC
1,29045,29045,Kershaw County,SC
1,29063,29063,Richland County,SC
4,29072,29072,Lexington County,SC
2,29073,29073,Lexington County,SC
2,2909,2909,Providence County,RI
6,29102,29102,Clarendon County,SC
1,29108,29108,Newberry County,SC
8,29115,29115,Orangeburg County,SC
2,29138,29138,Saluda County,SC
1,2914,2914,Providence County,RI
1,29142,29142,Orangeburg County,SC
1,2916,2916,Providence County,RI
3,29169,29169,Lexington County,SC
1,2917,2917,Providence County,RI
2,29170,29170,Lexington County,SC
2,29180,29180,Fairfield County,SC
1,2919,2919,Providence County,RI
2,2920,2920,Providence County,RI
1,29201,29201,Richland County,SC
3,29203,29203,Richland County,SC
1,29204,29204,Richland County,SC
2,29206,29206,Richland County,SC
3,29209,29209,Richland County,SC
4,29210,29210,Richland County,SC
3,29212,29212,Lexington County,SC
4,29223,29223,Richland County,SC
1,29229,29229,Richland County,SC
5,29301,29301,Spartanburg County,SC
1,29302,29302,Spartanburg County,SC
3,29303,29303,Spartanburg County,SC
1,29316,29316,Spartanburg County,SC
2,29325,29325,Laurens County,SC
1,29340,29340,Cherokee County,SC
1,29341,29341,Cherokee County,SC
1,29356,29356,Spartanburg County,SC
2,29360,29360,Laurens County,SC
1,29379,29379,Union County,SC
1,29385,29385,Spartanburg County,SC
1,29388,29388,Spartanburg County,SC
4,29405,29405,Charleston County,SC
2,29406,29406,Charleston County,SC
1,29407,29407,Charleston County,SC
1,29414,29414,Charleston County,SC
5,29418,29418,Charleston County,SC
1,29420,29420,Dorchester County,SC
1,29424,29424,Charleston County,SC
1,29440,29440,Georgetown County,SC
1,29445,29445,Berkeley County,SC
2,29455,29455,Charleston County,SC
1,29456,29456,Dorchester County,SC
1,29461,29461,Berkeley County,SC
1,29464,29464,Charleston County,SC
2,29466,29466,Charleston County,SC
1,29477,29477,Dorchester County,SC
2,29483,29483,Dorchester County,SC
4,29485,29485,Dorchester County,SC
1,29486,29486,#N/A,#N/A
1,29488,29488,Colleton County,SC
1,29492,29492,Berkeley County,SC
1,29492-8382,29492,Berkeley County,SC
4,29501,29501,Florence County,SC
1,29505,29505,Florence County,SC
3,29512,29512,Marlboro County,SC
2,29526,29526,Horry County,SC
2,29532,29532,Darlington County,SC
2,29536,29536,Dillon County,SC
2,29550,29550,Darlington County,SC
1,29556,29556,Williamsburg County,SC
1,29565,29565,Dillon County,SC
1,29569,29569,Horry County,SC
1,29571,29571,Marion County,SC
1,29574,29574,Marion County,SC
2,29575,29575,Horry County,SC
1,29576,29576,Horry County,SC
4,29577,29577,Horry County,SC
1,29579,29579,Horry County,SC
3,29582,29582,Horry County,SC
2,29588,29588,Horry County,SC
1,29605,29605,Greenville County,SC
5,29607,29607,Greenville County,SC
1,29609,29609,Greenville County,SC
4,29611,29611,Greenville County,SC
1,29615,29615,Greenville County,SC
4,29621,29621,Anderson County,SC
2,29624,29624,Anderson County,SC
2,29631,29631,Pickens County,SC
1,29640,29640,Pickens County,SC
1,29642,29642,Pickens County,SC
1,29644,29644,Greenville County,SC
4,29649,29649,Greenwood County,SC
1,29662,29662,Greenville County,SC
1,29671,29671,Pickens County,SC
2,29673,29673,Greenville County,SC
2,29678,29678,Oconee County,SC
2,29680,29680,Greenville County,SC
2,29681,29681,Greenville County,SC
2,29690,29690,Greenville County,SC
1,29692,29692,Laurens County,SC
1,29697,29697,Anderson County,SC
2,29702,29702,Cherokee County,SC
1,29707,29707,Lancaster County,SC
2,29708,29708,York County,SC
2,29710,29710,York County,SC
2,29715,29715,York County,SC
3,29720,29720,Lancaster County,SC
2,29728,29728,Chesterfield County,SC
3,29730,29730,York County,SC
2,29732,29732,York County,SC
3,29745,29745,York County,SC
1,29801,29801,Aiken County,SC
2,29803,29803,Aiken County,SC
1,29851,29851,Aiken County,SC
1,29860,29860,Edgefield County,SC
1,29902,29902,Beaufort County,SC
1,29907,29907,Beaufort County,SC
1,29910,29910,Beaufort County,SC
1,29924,29924,Hampton County,SC
2,29926,29926,Beaufort County,SC
1,29928,29928,Beaufort County,SC
1,29935,29935,Beaufort County,SC
4,29936,29936,Jasper County,SC
2,30004,30004,Fulton County,GA
1,30005,30005,Fulton County,GA
1,30008,30008,Cobb County,GA
1,30013,30013,Rockdale County,GA
4,30014,30014,Newton County,GA
2,30019,30019,Gwinnett County,GA
2,30024,30024,Gwinnett County,GA
1,30030,30030,DeKalb County,GA
5,30032,30032,DeKalb County,GA
1,30032-4157,30032,DeKalb County,GA
1,30033,30033,DeKalb County,GA
2,30034,30034,DeKalb County,GA
1,30038,30038,DeKalb County,GA
3,30041,30041,Forsyth County,GA
2,30043,30043,Gwinnett County,GA
2,30044,30044,Gwinnett County,GA
1,30045,30045,Gwinnett County,GA
1,30046,30046,Gwinnett County,GA
2,30047,30047,Gwinnett County,GA
2,30052,30052,Walton County,GA
2,30058,30058,DeKalb County,GA
3,30060,30060,Cobb County,GA
1,30060-9208,30060,Cobb County,GA
1,30064,30064,Cobb County,GA
5,30066,30066,Cobb County,GA
1,30067,30067,Cobb County,GA
3,30071,30071,Gwinnett County,GA
3,30075,30075,Fulton County,GA
2,30076,30076,Fulton County,GA
2,30078,30078,Gwinnett County,GA
1,30080,30080,Cobb County,GA
2,30083,30083,DeKalb County,GA
1,30084,30084,DeKalb County,GA
3,30092,30092,Gwinnett County,GA
2,30094,30094,Rockdale County,GA
1,30097,30097,Fulton County,GA
1,30101,30101,Cobb County,GA
1,30102,30102,Cherokee County,GA
1,30103,30103,Bartow County,GA
1,30106,30106,Cobb County,GA
5,30114,30114,Cherokee County,GA
1,30115,30115,Cherokee County,GA
3,30117,30117,Carroll County,GA
2,30120,30120,Bartow County,GA
1,30125,30125,Polk County,GA
1,30134,30134,Douglas County,GA
1,30135,30135,Douglas County,GA
1,30135-1511,30135,Douglas County,GA
1,30141,30141,Paulding County,GA
1,30143,30143,Pickens County,GA
2,30144,30144,Cobb County,GA
1,30152,30152,Cobb County,GA
2,30153,30153,Polk County,GA
2,30161,30161,Floyd County,GA
2,30165,30165,Floyd County,GA
2,30168,30168,Cobb County,GA
3,30188,30188,Cherokee County,GA
1,30189,30189,Cherokee County,GA
1,30213,30213,Fulton County,GA
3,30214,30214,Fayette County,GA
3,30223,30223,Spalding County,GA
1,30223-1754,30223,Spalding County,GA
3,30233,30233,Butts County,GA
2,30236,30236,Clayton County,GA
2,30240,30240,Troup County,GA
1,30248,30248,Henry County,GA
1,30252,30252,Henry County,GA
2,30253,30253,Henry County,GA
1,30260,30260,Clayton County,GA
1,30265,30265,Coweta County,GA
2,30268,30268,Fulton County,GA
1,30269,30269,Fayette County,GA
1,30272,30272,#N/A,#N/A
1,30274,30274,Clayton County,GA
1,30276,30276,Coweta County,GA
4,30281,30281,Henry County,GA
1,30281-6380,30281,Henry County,GA
1,30294,30294,DeKalb County,GA
1,30295,30295,Pike County,GA
2,30303,30303,Fulton County,GA
1,30305,30305,Fulton County,GA
1,30308,30308,Fulton County,GA
1,30309,30309,Fulton County,GA
1,30311,30311,Fulton County,GA
1,30316,30316,DeKalb County,GA
1,30318,30318,Fulton County,GA
1,30320,30320,#N/A,#N/A
3,30328,30328,Fulton County,GA
3,30329,30329,DeKalb County,GA
3,30331,30331,Fulton County,GA
3,30336,30336,Fulton County,GA
1,30337,30337,Fulton County,GA
3,30338,30338,DeKalb County,GA
3,30339,30339,Cobb County,GA
2,30341,30341,DeKalb County,GA
1,30344,30344,Fulton County,GA
1,30345,30345,DeKalb County,GA
1,30349,30349,Fulton County,GA
4,30350,30350,Fulton County,GA
1,30360,30360,DeKalb County,GA
2,3038,3038,Rockingham County,NH
6,30401,30401,Emanuel County,GA
3,3042,3042,Rockingham County,NH
1,30453,30453,Tattnall County,GA
4,30458,30458,Bulloch County,GA
2,30474,30474,Toombs County,GA
3,30501,30501,Hall County,GA
1,30512,30512,Union County,GA
3,30513,30513,Fannin County,GA
1,30517,30517,Jackson County,GA
3,30518,30518,Gwinnett County,GA
1,30518-1714,30518,Gwinnett County,GA
1,30519,30519,Gwinnett County,GA
1,30525,30525,Rabun County,GA
1,30529,30529,Jackson County,GA
3,30534,30534,Dawson County,GA
1,30539,30539,#N/A,#N/A
1,3054,3054,Hillsborough County,NH
2,30540,30540,Gilmer County,GA
4,30542,30542,Hall County,GA
1,30549,30549,Jackson County,GA
1,30566,30566,Hall County,GA
4,3060,3060,Hillsborough County,NH
1,30601,30601,Clarke County,GA
2,30605,30605,Clarke County,GA
2,30606,30606,Clarke County,GA
2,3063,3063,Hillsborough County,NH
1,30655,30655,Walton County,GA
2,30662,30662,Franklin County,GA
3,30680,30680,Barrow County,GA
1,30680-2081,30680,Barrow County,GA
1,30701,30701,Gordon County,GA
1,30707,30707,Walker County,GA
2,30720,30720,Whitfield County,GA
1,30721,30721,Whitfield County,GA
1,30736,30736,Catoosa County,GA
1,30741,30741,Walker County,GA
1,30742,30742,Catoosa County,GA
1,30747,30747,Chattooga County,GA
1,30752,30752,Dade County,GA
1,3079,3079,Rockingham County,NH
1,30809,30809,Columbia County,GA
1,30813,30813,Columbia County,GA
5,30830,30830,Burke County,GA
1,30901,30901,Richmond County,GA
1,30904,30904,Richmond County,GA
1,30906,30906,Richmond County,GA
2,30907,30907,Columbia County,GA
2,30909,30909,Richmond County,GA
1,31005,31005,Houston County,GA
1,31008,31008,Peach County,GA
1,3102,3102,Hillsborough County,NH
1,31021,31021,Laurens County,GA
1,31028,31028,Houston County,GA
2,31029,31029,Monroe County,GA
2,3103,3103,Hillsborough County,NH
2,31030,31030,Peach County,GA
1,31032,31032,Jones County,GA
1,3106,3106,Merrimack County,NH
1,31069,31069,Houston County,GA
2,31093,31093,Houston County,GA
1,31098,31098,Houston County,GA
1,31201,31201,Bibb County,GA
1,31204,31204,Bibb County,GA
1,31206,31206,Bibb County,GA
4,31210,31210,Bibb County,GA
1,31211,31211,Bibb County,GA
1,31216,31216,Bibb County,GA
2,31313,31313,Liberty County,GA
1,31314,31314,Liberty County,GA
1,31322,31322,Chatham County,GA
1,31324,31324,Bryan County,GA
3,31326,31326,Effingham County,GA
2,31404,31404,Chatham County,GA
1,31405,31405,Chatham County,GA
2,31406,31406,Chatham County,GA
2,31410,31410,Chatham County,GA
1,31419,31419,Chatham County,GA
1,31501,31501,Ware County,GA
1,31501-1005,31501,Ware County,GA
5,31520,31520,Glynn County,GA
1,31522,31522,Glynn County,GA
1,31525,31525,Glynn County,GA
2,31533,31533,Coffee County,GA
1,31537,31537,Charlton County,GA
1,31548,31548,Camden County,GA
3,31601,31601,Lowndes County,GA
3,31602,31602,Lowndes County,GA
1,31605,31605,Lowndes County,GA
1,31636,31636,Lowndes County,GA
2,31643,31643,Brooks County,GA
1,31701,31701,Dougherty County,GA
1,31704,31704,#N/A,#N/A
4,31707,31707,Dougherty County,GA
1,31730,31730,Mitchell County,GA
1,31763,31763,Lee County,GA
3,31792,31792,Thomas County,GA
3,31793,31793,Tift County,GA
6,31794,31794,Tift County,GA
1,31901,31901,Muscogee County,GA
2,31904,31904,Muscogee County,GA
1,31905,31905,Chattahoochee County,GA
1,31906,31906,Muscogee County,GA
2,31907,31907,Muscogee County,GA
5,31909,31909,Muscogee County,GA
3,32055,32055,Columbia County,FL
1,32073,32073,Clay County,FL
4,32084,32084,St. Johns County,FL
1,32091,32091,Bradford County,FL
1,32092,32092,St. Johns County,FL
1,32114,32114,Volusia County,FL
1,32117,32117,Volusia County,FL
1,32118,32118,Volusia County,FL
1,32124,32124,Volusia County,FL
2,32127,32127,Volusia County,FL
1,32136,32136,Flagler County,FL
3,32168,32168,Volusia County,FL
2,32174,32174,Volusia County,FL
1,32177,32177,Putnam County,FL
1,32207,32207,Duval County,FL
2,32216,32216,Duval County,FL
1,32217,32217,Duval County,FL
1,32218,32218,Duval County,FL
1,32219,32219,Duval County,FL
1,32222,32222,Duval County,FL
1,32223,32223,Duval County,FL
2,32225,32225,Duval County,FL
1,32234,32234,Duval County,FL
1,32244,32244,Duval County,FL
2,32246,32246,Duval County,FL
2,32256,32256,Duval County,FL
1,32257,32257,Duval County,FL
1,32259,32259,St. Johns County,FL
2,32277,32277,Duval County,FL
3,32301,32301,Leon County,FL
1,32303,32303,Leon County,FL
4,32304,32304,Leon County,FL
1,32311,32311,Leon County,FL
1,32340,32340,Madison County,FL
1,3235,3235,Merrimack County,NH
1,32351,32351,Gadsden County,FL
2,32401,32401,Bay County,FL
1,32404,32404,Bay County,FL
2,32405,32405,Bay County,FL
2,32407,32407,Bay County,FL
3,32408,32408,Bay County,FL
2,32413,32413,Bay County,FL
2,3246,3246,Belknap County,NH
6,32504,32504,Escambia County,FL
2,32505,32505,Escambia County,FL
1,32506,32506,Escambia County,FL
2,32507,32507,Escambia County,FL
1,32526,32526,Escambia County,FL
1,3253,3253,Belknap County,NH
3,32533,32533,Escambia County,FL
4,32536,32536,Okaloosa County,FL
1,32542,32542,Okaloosa County,FL
1,32548,32548,Okaloosa County,FL
1,32569,32569,Okaloosa County,FL
3,32571,32571,Santa Rosa County,FL
1,32578,32578,Okaloosa County,FL
1,32608,32608,Alachua County,FL
1,32628,32628,Dixie County,FL
1,32643,32643,Alachua County,FL
2,32669,32669,Alachua County,FL
1,32694,32694,Alachua County,FL
1,32703,32703,Orange County,FL
1,32714,32714,Seminole County,FL
1,32726,32726,Lake County,FL
1,32746,32746,Seminole County,FL
1,32750,32750,Seminole County,FL
1,3276,3276,Merrimack County,NH
1,32765,32765,Seminole County,FL
1,32771,32771,Seminole County,FL
1,32780,32780,Brevard County,FL
1,32789,32789,Orange County,FL
3,32792,32792,Orange County,FL
1,32805,32805,Orange County,FL
2,32806,32806,Orange County,FL
1,32807,32807,Orange County,FL
4,32808,32808,Orange County,FL
3,32809,32809,Orange County,FL
1,32810,32810,Orange County,FL
1,32811,32811,Orange County,FL
1,32812,32812,Orange County,FL
3,32817,32817,Orange County,FL
2,32819,32819,Orange County,FL
1,32821,32821,Orange County,FL
1,32822,32822,Orange County,FL
1,32826,32826,Orange County,FL
2,32828,32828,Orange County,FL
1,32832,32832,Orange County,FL
1,32835,32835,Orange County,FL
2,32836,32836,Orange County,FL
1,32837,32837,Orange County,FL
1,32837-6636,32837,Orange County,FL
2,32904,32904,Brevard County,FL
1,32907,32907,Brevard County,FL
1,32909,32909,Brevard County,FL
1,32922,32922,Brevard County,FL
2,32935,32935,Brevard County,FL
1,32952,32952,Brevard County,FL
1,32955,32955,Brevard County,FL
2,32958,32958,Indian River County,FL
1,33009,33009,Broward County,FL
2,3301,3301,Merrimack County,NH
5,33010,33010,Miami-Dade County,FL
2,33013,33013,Miami-Dade County,FL
2,33014,33014,Miami-Dade County,FL
6,33015,33015,Miami-Dade County,FL
5,33016,33016,Miami-Dade County,FL
1,33020,33020,Broward County,FL
1,33021,33021,Broward County,FL
1,33023,33023,Broward County,FL
2,33024,33024,Broward County,FL
2,33027,33027,Broward County,FL
1,3303,3303,Merrimack County,NH
1,33032,33032,Miami-Dade County,FL
5,33033,33033,Miami-Dade County,FL
3,33034,33034,Miami-Dade County,FL
1,33036,33036,Monroe County,FL
2,33037,33037,Monroe County,FL
2,33040,33040,Monroe County,FL
4,33050,33050,Monroe County,FL
3,33055,33055,Miami-Dade County,FL
1,33060,33060,Broward County,FL
1,33062,33062,Broward County,FL
1,33063,33063,Broward County,FL
3,33065,33065,Broward County,FL
2,33068,33068,Broward County,FL
1,33069,33069,Broward County,FL
1,33070,33070,Monroe County,FL
1,33076,33076,Broward County,FL
1,33122,33122,Miami-Dade County,FL
1,33125,33125,Miami-Dade County,FL
1,33126,33126,Miami-Dade County,FL
1,33127,33127,Miami-Dade County,FL
2,33130,33130,Miami-Dade County,FL
3,33131,33131,Miami-Dade County,FL
1,33134,33134,Miami-Dade County,FL
2,33137,33137,Miami-Dade County,FL
1,33138,33138,Miami-Dade County,FL
2,33139,33139,Miami-Dade County,FL
1,33142,33142,Miami-Dade County,FL
2,33144,33144,Miami-Dade County,FL
2,33145,33145,Miami-Dade County,FL
3,33155,33155,Miami-Dade County,FL
1,33156,33156,Miami-Dade County,FL
4,33157,33157,Miami-Dade County,FL
3,33160,33160,Miami-Dade County,FL
1,33161,33161,Miami-Dade County,FL
3,33162,33162,Miami-Dade County,FL
4,33165,33165,Miami-Dade County,FL
4,33166,33166,Miami-Dade County,FL
2,33168,33168,Miami-Dade County,FL
1,33169,33169,Miami-Dade County,FL
2,33174,33174,Miami-Dade County,FL
1,33175,33175,Miami-Dade County,FL
1,33177,33177,Miami-Dade County,FL
1,33178,33178,Miami-Dade County,FL
1,33180,33180,Miami-Dade County,FL
4,33181,33181,Miami-Dade County,FL
4,33184,33184,Miami-Dade County,FL
1,33186,33186,Miami-Dade County,FL
1,33189,33189,Miami-Dade County,FL
2,33304,33304,Broward County,FL
1,33309,33309,Broward County,FL
5,33311,33311,Broward County,FL
5,33312,33312,Broward County,FL
2,33313,33313,Broward County,FL
1,33314,33314,Broward County,FL
3,33316,33316,Broward County,FL
2,33319,33319,Broward County,FL
1,33323,33323,Broward County,FL
1,33324,33324,Broward County,FL
1,33326,33326,Broward County,FL
1,33328,33328,Broward County,FL
2,33330,33330,Broward County,FL
1,33331,33331,Broward County,FL
2,33351,33351,Broward County,FL
2,33388,33388,#N/A,#N/A
1,33401,33401,Palm Beach County,FL
1,33403,33403,Palm Beach County,FL
1,33404,33404,Palm Beach County,FL
1,33406,33406,Palm Beach County,FL
5,33411,33411,Palm Beach County,FL
2,33413,33413,Palm Beach County,FL
2,33414,33414,Palm Beach County,FL
3,33415,33415,Palm Beach County,FL
1,33418,33418,Palm Beach County,FL
3,33426,33426,Palm Beach County,FL
1,33435,33435,Palm Beach County,FL
1,33442,33442,Broward County,FL
1,33449,33449,Palm Beach County,FL
1,33460,33460,Palm Beach County,FL
1,33462,33462,Palm Beach County,FL
1,33463,33463,Palm Beach County,FL
1,33467,33467,Palm Beach County,FL
1,33478,33478,Palm Beach County,FL
1,33484,33484,Palm Beach County,FL
1,33486,33486,Palm Beach County,FL
1,33511,33511,Hillsborough County,FL
1,33534,33534,Hillsborough County,FL
1,33548,33548,Hillsborough County,FL
1,33566,33566,Hillsborough County,FL
1,33584,33584,Hillsborough County,FL
2,33594,33594,Hillsborough County,FL
2,33596,33596,Hillsborough County,FL
1,33602,33602,Hillsborough County,FL
1,33605,33605,Hillsborough County,FL
1,33606,33606,Hillsborough County,FL
2,33607,33607,Hillsborough County,FL
2,33609,33609,Hillsborough County,FL
1,33611,33611,Hillsborough County,FL
4,33612,33612,Hillsborough County,FL
2,33614,33614,Hillsborough County,FL
2,33615,33615,Hillsborough County,FL
3,33619,33619,Hillsborough County,FL
1,33629,33629,Hillsborough County,FL
1,33647,33647,Hillsborough County,FL
2,33701,33701,Pinellas County,FL
1,33702,33702,Pinellas County,FL
1,33703,33703,Pinellas County,FL
1,33706,33706,Pinellas County,FL
2,33707,33707,Pinellas County,FL
1,33711,33711,Pinellas County,FL
1,33713,33713,Pinellas County,FL
1,33759,33759,Pinellas County,FL
1,33762,33762,Pinellas County,FL
1,33764,33764,Pinellas County,FL
2,33765,33765,Pinellas County,FL
2,33777,33777,Pinellas County,FL
2,33781,33781,Pinellas County,FL
1,33801,33801,Polk County,FL
1,33801-2601,33801,Polk County,FL
1,33803,33803,Polk County,FL
1,33809,33809,Polk County,FL
1,33813,33813,Polk County,FL
1,33823,33823,Polk County,FL
1,33825,33825,Highlands County,FL
1,33844,33844,Polk County,FL
1,33853,33853,Polk County,FL
1,33859,33859,Polk County,FL
1,33880,33880,Polk County,FL
1,33896,33896,Polk County,FL
1,33901,33901,Lee County,FL
1,33903,33903,Lee County,FL
1,33909,33909,Lee County,FL
2,33912,33912,Lee County,FL
1,33917,33917,Lee County,FL
1,33928,33928,Lee County,FL
1,33936,33936,Lee County,FL
1,33948,33948,Charlotte County,FL
3,33950,33950,Charlotte County,FL
1,33971,33971,Lee County,FL
1,34104,34104,Collier County,FL
1,34109,34109,Collier County,FL
1,34110,34110,Collier County,FL
1,34134,34134,Lee County,FL
1,34208,34208,Manatee County,FL
1,34209,34209,Manatee County,FL
1,34210,34210,Manatee County,FL
1,34212,34212,Manatee County,FL
1,34221,34221,Manatee County,FL
1,34223,34223,Sarasota County,FL
2,34233,34233,Sarasota County,FL
1,34234,34234,Sarasota County,FL
1,34285,34285,Sarasota County,FL
1,34287,34287,Sarasota County,FL
1,34288,34288,Sarasota County,FL
1,34292,34292,Sarasota County,FL
2,3431,3431,Cheshire County,NH
1,34453,34453,Citrus County,FL
1,34473,34473,Marion County,FL
1,3461,3461,Cheshire County,NH
1,34652,34652,Pasco County,FL
1,34653,34653,Pasco County,FL
1,34655,34655,Pasco County,FL
1,34668,34668,Pasco County,FL
1,34669,34669,Pasco County,FL
1,34677,34677,Pinellas County,FL
2,34684,34684,Pinellas County,FL
2,34689,34689,Pinellas County,FL
2,34711,34711,Lake County,FL
1,34714,34714,Lake County,FL
2,34736,34736,Lake County,FL
3,34743,34743,Osceola County,FL
1,34744,34744,Osceola County,FL
5,34746,34746,Osceola County,FL
2,34761,34761,Orange County,FL
1,34769,34769,Osceola County,FL
1,34786,34786,Orange County,FL
1,34787,34787,Orange County,FL
2,34788,34788,Lake County,FL
4,34953,34953,St. Lucie County,FL
1,34974,34974,Okeechobee County,FL
4,34986,34986,St. Lucie County,FL
