,popultion,zipcode_str,state,county
158,40280,01040,MA,Hampden County
159,2343,01050,MA,Hampshire County
160,1697,01053,MA,Hampshire County
161,1972,01054,MA,Franklin County
162,21352,01056,MA,Hampden County
163,8773,01057,MA,Hampden County
164,15407,01060,MA,Hampshire County
165,10867,01062,MA,Hampshire County
166,563,01063,MA,Hampshire County
167,12,01066,MA,Hampshire County
168,1825,01068,MA,Worcester County
169,8753,01069,MA,Hampden County
170,562,01070,MA,Hampshire County
171,1271,01071,MA,Hampden County
172,1542,01072,MA,Franklin County
173,6081,01073,MA,Hampshire County
174,228,01074,MA,Worcester County
175,17770,01075,MA,Hampshire County
176,9650,01077,MA,Hampden County
177,811,01079,MA,Hampden County
178,2452,01080,MA,Hampden County
179,1823,01081,MA,Hampden County
180,10612,01082,MA,Hampshire County
181,3148,01083,MA,Worcester County
182,154,01084,MA,Hampshire County
183,41479,01085,MA,Hampden County
184,690,01086,MA,Hampden County
185,433,01088,MA,Hampshire County
186,28575,01089,MA,Hampden County
187,1191,01092,MA,Worcester County
188,289,01093,MA,Franklin County
189,347,01094,MA,Worcester County
190,14569,01095,MA,Hampden County
191,2564,01096,MA,Hampshire County
192,78,01097,MA,Hampden County
193,1117,01098,MA,Hampshire County
194,2430,01103,MA,Hampden County
195,23183,01104,MA,Hampden County
196,11576,01105,MA,Hampden County
197,15983,01106,MA,Hampden County
198,11474,01107,MA,Hampden County
199,28449,01108,MA,Hampden County
200,30139,01109,MA,Hampden County
201,14293,01118,MA,Hampden County
202,13091,01119,MA,Hampden County
203,2695,01128,MA,Hampden County
204,7220,01129,MA,Hampden County
205,9295,01151,MA,Hampden County
206,0,01199,MA,Hampden County
207,45001,01201,MA,Berkshire County
208,8266,01220,MA,Berkshire County
209,829,01222,MA,Berkshire County
210,2247,01223,MA,Berkshire County
211,176,01224,MA,Berkshire County
212,3192,01225,MA,Berkshire County
213,6885,01226,MA,Berkshire County
214,102,01229,MA,Berkshire County
215,8195,01230,MA,Berkshire County
216,2666,01235,MA,Berkshire County
217,1422,01236,MA,Berkshire County
218,2755,01237,MA,Berkshire County
219,5950,01238,MA,Berkshire County
220,4592,01240,MA,Berkshire County
221,429,01242,MA,Berkshire County
222,381,01243,MA,Hampshire County
223,82,01244,MA,Berkshire County
224,870,01245,MA,Berkshire County
225,15725,01247,MA,Berkshire County
226,734,01253,MA,Berkshire County
227,985,01254,MA,Berkshire County
228,869,01255,MA,Berkshire County
229,764,01256,MA,Berkshire County
230,2164,01257,MA,Berkshire County
231,359,01258,MA,Berkshire County
232,556,01259,MA,Berkshire County
233,545,01260,MA,Berkshire County
234,1196,01262,MA,Berkshire County
235,161,01264,MA,Berkshire County
236,1380,01266,MA,Berkshire County
237,7846,01267,MA,Berkshire County
238,814,01270,MA,Berkshire County
239,17730,01301,MA,Franklin County
240,1468,01330,MA,Franklin County
241,13205,01331,MA,Worcester County
242,2598,01337,MA,Franklin County
243,138,01338,MA,Franklin County
244,1461,01339,MA,Franklin County
245,1689,01340,MA,Franklin County
246,1716,01341,MA,Franklin County
247,1768,01342,MA,Franklin County
248,46,01343,MA,Berkshire County
249,1582,01344,MA,Franklin County
250,465,01346,MA,Franklin County
251,133,01347,MA,Franklin County
252,1106,01349,MA,Franklin County
253,95,01350,MA,Franklin County
254,2312,01351,MA,Franklin County
255,1656,01354,MA,Franklin County
256,915,01355,MA,Franklin County
257,3006,01360,MA,Franklin County
258,7832,01364,MA,Franklin County
259,1202,01366,MA,Worcester County
260,686,01367,MA,Franklin County
261,1363,01368,MA,Worcester County
262,3879,01370,MA,Franklin County
263,4184,01373,MA,Franklin County
264,3673,01375,MA,Franklin County
265,5101,01376,MA,Franklin County
266,734,01378,MA,Franklin County
267,775,01379,MA,Franklin County
268,40441,01420,MA,Worcester County
269,6171,01430,MA,Worcester County
270,3196,01431,MA,Middlesex County
271,7594,01432,MA,Middlesex County
272,1716,01434,MA,Worcester County
