median,stdev,lat,lon,clean_mean,zip_code
13144.33,27148.67,18.1718,-66.7133,22496.33,00601
11323.6,12503.6,18.3847,-67.1932,15078.4,00602
15386.4,29969.6,18.4395,-67.123,26046.8,00603
9461.0,41453.5,18.4723,-67.1297,27497.5,00605
15233.0,15261.0,18.1922,-66.9809,19194.0,00606
19881.67,23642.33,18.2872,-67.1151,26944.33,00610
18853.5,26828.0,18.444,-66.6679,26967.0,00612
13336.38,17429.88,18.4453,-66.6759,19302.0,00614
13615.5,15342.5,18.4535,-66.5632,17855.5,00617
21978.0,37841.0,18.0215,-67.1706,35351.33,00623
13161.0,16680.8,18.0489,-66.734,18881.0,00624
26096.0,31110.5,18.4493,-66.86,33695.5,00627
6774.0,9065.0,18.2354,-66.8815,9531.0,00631
17569.0,21169.33,18.056,-66.9422,23750.33,00637
16277.5,16264.0,18.2915,-66.5256,20379.5,00638
19434.0,20982.0,18.273,-66.7498,24855.5,00641
16560.0,19699.0,18.4159,-66.2668,22223.0,00646
12193.67,26176.0,17.9822,-66.9044,21219.67,00653
14632.5,22325.5,18.0069,-66.7966,21630.0,00656
19583.5,30595.0,18.436,-66.8041,29125.5,00659
21603.33,24374.67,18.1438,-67.1283,27904.0,00660
14632.0,21557.25,18.4825,-67.0349,22614.75,00662
17816.0,18250.0,18.1838,-66.5936,22355.0,00664
16085.4,28739.0,18.0463,-67.0509,26441.8,00667
16453.75,20261.75,18.3152,-66.865,22213.75,00669
28644.0,27748.0,18.4298,-66.479,35143.0,00674
13727.0,18328.0,18.3921,-67.0936,20337.0,00676
13686.5,15700.0,18.2191,-67.5612,18663.0,00677
13863.0,18085.0,18.4742,-66.9305,19277.5,00678
12069.0,20013.14,18.2071,-67.1165,18687.43,00680
16253.5,18064.5,18.1822,-67.1298,20925.5,00682
23798.0,42137.0,18.1426,-67.0624,35797.0,00683
13378.75,17750.25,18.3535,-66.9679,19434.5,00685
16397.0,20520.0,18.3345,-66.406,22249.5,00687
18641.5,24302.5,18.425,-66.3196,27621.5,00692
12138.71,22579.57,18.4599,-66.3791,19546.0,00693
18573.25,24289.25,18.0514,-66.8555,24325.0,00698
13532.0,28044.0,18.2393,-66.1173,22111.25,00703
16304.5,20945.0,18.1362,-66.266,23915.5,00705
20916.5,30959.0,18.0072,-65.8954,28610.5,00707
18049.0,14292.0,17.9764,-66.0658,20629.0,00714
17574.0,30719.0,18.019,-66.5811,26437.0,00715
22046.0,18120.5,18.2041,-65.7747,26759.0,00718
21162.0,23130.0,18.2972,-66.2378,28036.33,00719
13082.67,19924.33,18.2138,-66.4237,19873.67,00720
8840.0,12285.0,17.9873,-66.0106,12513.0,00723
20340.62,30308.75,18.2296,-66.0426,31626.12,00725
56122.0,57398.0,18.246,-65.9995,69133.0,00726
19324.25,22102.75,18.2229,-66.0498,25012.75,00727
8881.0,13314.0,18.0156,-66.6292,13641.0,00728
