,State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev
19696,NY,Far Rockaway,11691,40.5986579,-73.7412531,34331,18895,38428
19697,NY,Far Rockaway,11691,40.6089555,-73.7554305,59352,45558,46229
19698,NY,Whitestone,11357,40.7791778,-73.80965970000001,73852,300000,48510
19699,NY,Whitestone,11357,40.7737697,-73.80706479999999,95405,86161,66683
19700,NY,Bayside,11361,40.7756127,-73.77041009999999,0,0,0
19701,NY,Brooklyn,11210,40.6278153,-73.9374778,94826,87173,59172
19702,NY,Bayside,11361,40.76791970000001,-73.7626797,0,0,0
19703,NY,Bayside,11361,40.7641494,-73.78315190000001,115370,97802,78082
19704,NY,Flushing,11355,40.76783820000001,-73.8117913,86102,300000,69711
19705,NY,Flushing,11355,40.7638178,-73.81920840000001,51687,30821,50112
19706,NY,Flushing,11358,40.7614714,-73.7964295,85402,74232,72262
19707,NY,Flushing,11358,40.756665000000005,-73.8065111,71154,46584,57960
19708,NY,Flushing,11358,40.750726799999995,-73.8008894,79822,76386,49991
19709,NY,Flushing,11365,40.733320899999995,-73.8070915,68135,300000,41801
19710,NY,Flushing,11367,40.7331478,-73.8127448,28278,13764,40992
19711,NY,Jamaica,11432,40.7204943,-73.8037061,107566,91662,71979
19712,NY,Brooklyn,11210,40.6214738,-73.9507115,101699,91303,67212
19713,NY,Flushing,11364,40.731638399999994,-73.7543823,115199,300000,62983
19714,NY,Flushing,11364,40.7380951,-73.7500691,156008,300000,80903
19715,NY,Flushing,11365,40.728640000000006,-73.7900377,100189,99241,68319
19716,NY,Bayside,11361,40.74420429999999,-73.760311,120337,300000,53921
19717,NY,Bayside,11361,40.7555383,-73.7573134,73025,49473,48993
19718,NY,Flushing,11365,40.744814700000006,-73.7917203,117130,74559,84395
19719,NY,Bayside,11361,40.75291179999999,-73.77028179999999,100518,300000,73284
19720,NY,Flushing,11358,40.7542208,-73.79196329999999,84531,300000,56347
19721,NY,Little Neck,11363,40.7696001,-73.7422559,78322,56005,64979
19722,NY,Little Neck,11362,40.762201,-73.73970179999999,91200,77169,64500
19723,NY,Brooklyn,11210,40.631679999999996,-73.94760699999999,60471,49453,43849
19724,NY,Little Neck,11362,40.759336700000006,-73.72398929999999,83217,300000,44896
19725,NY,Floral Park,11004,40.738500200000004,-73.7195555,89541,82139,81975
19726,NY,Floral Park,11004,40.7447245,-73.7045823,118132,300000,83141
19727,NY,Floral Park,11004,40.7415838,-73.71199909999999,89241,300000,43355
19728,NY,Queens Village,11427,40.7284264,-73.7297088,81865,75921,57864
19729,NY,Troy,12182,42.77085220000001,-73.6754508,35662,31159,21770
19730,NY,Troy,12180,42.7466749,-73.6836912,33433,23946,31757
19731,NY,Troy,12180,42.7250786,-73.6925952,49068,31133,40366
19732,NY,Troy,12180,42.7052216,-73.67471479999999,58336,43350,54126
19733,NY,Troy,12180,42.7297985,-73.6668224,68701,57729,44246
19734,NY,Brooklyn,11226,40.6565964,-73.9582723,65163,45431,54517
19735,NY,Hoosick Falls,12090,42.8768023,-73.35152540000001,62271,61843,38306
19736,NY,Schaghticoke,12154,42.8995654,-73.6079647,89229,69735,68493
19737,NY,Troy,12180,42.7285982,-73.6149395,120074,110576,68209
19738,NY,Poestenkill,12140,42.700199600000005,-73.5224867,90983,300000,40828
19739,NY,West Sand Lake,12196,42.6655473,-73.6365436,83499,62720,66127
19740,NY,Rensselaer,12144,42.627835499999996,-73.71784179999999,66459,49702,51502
19741,NY,Nassau,12123,42.5413647,-73.6368516,104433,104673,59105
19742,NY,Staten Island,10301,40.6452999,-74.06375820000001,0,0,0
19743,NY,Staten Island,10301,40.6468673,-74.0788725,46767,44777,34031
19744,NY,Staten Island,10301,40.6343907,-74.0812548,67470,41336,69106
19745,NY,Brooklyn,11203,40.653640700000004,-73.940238,56017,47326,49787
19746,NY,Staten Island,10301,40.6317191,-74.0626755,46233,36879,36311
19747,NY,Staten Island,10304,40.6212401,-74.0906463,52880,50258,34980
19748,NY,Staten Island,10301,40.6141999,-74.0947353,73906,62917,67445
19749,NY,Staten Island,10301,40.635542799999996,-74.1012037,115942,113390,69652
19750,NY,Staten Island,10301,40.6335987,-74.0909457,42588,30123,32008
19751,NY,Staten Island,10304,40.5907821,-74.09515959999999,76903,62904,58365
19752,NY,Staten Island,10310,40.633798999999996,-74.1118714,55419,38803,50952
19753,NY,Staten Island,10304,40.585743900000004,-74.09909820000001,62244,58560,40830
19754,NY,Staten Island,10306,40.5759718,-74.1114581,96321,86687,72815
19755,NY,Staten Island,10306,40.557671,-74.1076715,0,0,0
19756,NY,Brooklyn,11210,40.6415499,-73.93847509999999,72681,61343,48301
19757,NY,Staten Island,10306,40.5594209,-74.1302418,105670,105409,61368
19758,NY,Staten Island,10306,40.570488899999994,-74.1318818,129234,300000,76473
19759,NY,Staten Island,10308,40.5500383,-74.15975470000001,95489,300000,71071
19760,NY,Staten Island,10308,40.558465500000004,-74.156518,101343,97197,60436
19761,NY,Staten Island,10308,40.5466801,-74.12964000000001,0,0,0
19762,NY,Staten Island,10312,40.5360199,-74.16180340000001,115081,119846,59438
19763,NY,Staten Island,10312,40.5578753,-74.18905,84076,73694,59098
19764,NY,Staten Island,10312,40.5505833,-74.1969608,89380,75043,68834
19765,NY,Staten Island,10312,40.525202,-74.1711353,72056,44463,59648
19766,NY,Staten Island,10314,40.5903054,-74.1218642,116577,108326,74548
19767,NY,Brooklyn,11203,40.6502075,-73.9390272,58926,53325,40986
19768,NY,Staten Island,10314,40.60524,-74.13806559999999,70644,58462,58445
19769,NY,Staten Island,10314,40.62403870000001,-74.1342647,99387,90215,63719
19770,NY,Staten Island,10309,40.548655700000005,-74.20952779999999,77713,68801,59850
