number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
4,29485,52772.0,SC,Dorchester County,11.2,93.3,31.6,156676.33,56736.33,32.9046,-80.222,93324.67
1,29488,21970.0,SC,Colleton County,5.3,87.8,15.6,29213.67,35074.67,32.9243,-80.6618,40527.0
4,29501,44198.0,SC,Florence County,10.8,89.7,31.6,213313.0,54483.0,34.1759,-79.8148,78886.67
3,29512,18533.0,SC,Marlboro County,2.7,72.3,7.7,39493.0,34961.0,34.6239,-79.6509,46838.0
2,29526,43371.0,SC,Horry County,6.9,87.0,18.2,42630.25,47541.25,33.8571,-79.0401,56081.75
2,29532,20530.0,SC,Darlington County,5.8,80.4,17.2,26763.33,34393.0,34.3215,-79.9062,37392.33
2,29536,16280.0,SC,Dillon County,2.9,71.8,10.1,14884.0,23427.5,34.4125,-79.3469,24135.5
2,29550,32180.0,SC,Darlington County,7.7,82.9,20.8,30390.0,35725.33,34.3811,-80.0388,40219.67
1,29565,6938.0,SC,Dillon County,3.7,83.3,12.4,32804.5,31890.5,34.3099,-79.4773,40683.0
1,29569,15970.0,SC,Horry County,4.4,83.6,11.8,22390.0,30688.0,34.0147,-78.959,37961.0
1,29571,14900.0,SC,Marion County,6.5,81.9,16.9,39815.0,40168.0,34.1427,-79.5094,49417.0
1,29574,11847.0,SC,Marion County,4.9,74.7,18.0,93845.5,35711.5,34.2134,-79.245,41929.5
2,29575,17585.0,SC,Horry County,7.9,94.4,26.6,43170.0,46886.0,33.6518,-78.9651,61164.0
1,29576,28146.0,SC,Horry County,9.7,93.4,27.2,54627.25,56005.5,33.5805,-79.0445,71029.0
4,29577,30098.0,SC,Horry County,7.8,85.3,24.0,49896.75,53792.5,33.7163,-78.8775,64814.75
1,29579,36779.0,SC,Horry County,9.3,93.4,30.1,61967.0,47326.0,33.7719,-78.9474,70196.0
2,29588,42168.0,SC,Horry County,7.5,88.9,21.7,37392.0,32467.0,33.7086,-78.9849,47195.5
1,29605,36438.0,SC,Greenville County,12.6,83.2,30.0,35065.67,51761.33,34.8069,-82.3817,52954.67
5,29607,38043.0,SC,Greenville County,15.5,90.3,42.3,43060.2,45784.6,34.8233,-82.3595,54168.2
1,29609,30411.0,SC,Greenville County,14.1,86.0,36.5,29562.25,42727.0,34.8748,-82.4035,45140.5
4,29611,29807.0,SC,Greenville County,3.4,70.2,13.2,23485.0,29838.0,34.8274,-82.43799999999999,36714.0
1,29615,36042.0,SC,Greenville County,16.8,96.0,48.6,60565.5,49505.0,34.8643,-82.3245,70896.5
4,29621,41571.0,SC,Anderson County,12.0,89.5,31.5,134696.0,55703.33,34.5308,-82.6216,74237.67
2,29624,14362.0,SC,Anderson County,1.9,67.3,5.0,300000.0,32370.0,34.4156,-82.6296,43084.0
2,29631,13939.0,SC,Pickens County,34.1,95.6,59.8,300000.0,26516.0,34.6838,-82.8124,48741.0
1,29640,29957.0,SC,Pickens County,4.3,81.2,14.3,31838.0,33459.0,34.8405,-82.6338,41058.0
1,29642,31225.0,SC,Pickens County,10.7,90.3,29.2,41157.5,39968.0,34.8227,-82.5831,51329.5
1,29644,19848.0,SC,Greenville County,5.4,87.4,17.7,49983.0,45284.0,34.7043,-82.2046,62308.0
4,29649,25688.0,SC,Greenwood County,12.2,88.7,32.6,50648.0,41630.0,34.2232,-82.1808,61926.0
1,29671,17788.0,SC,Pickens County,5.2,80.9,16.2,39344.33,38978.33,34.9237,-82.6936,47824.33
2,29673,28331.0,SC,Greenville County,7.7,83.1,22.3,34373.0,34794.5,34.7344,-82.4373,42231.5
2,29678,22214.0,SC,Oconee County,8.5,80.9,20.9,32826.5,46724.0,34.6478,-82.9186,45845.0
2,29680,29610.0,SC,Greenville County,11.9,92.2,33.7,50187.0,51610.5,34.7156,-82.3067,64964.0
2,29681,53864.0,SC,Greenville County,16.7,94.8,47.5,76963.0,54368.25,34.7617,-82.2537,86414.25
2,29690,22307.0,SC,Greenville County,9.4,83.9,22.1,40910.0,53923.0,34.9864,-82.4422,58181.0
1,29692,4748.0,SC,Laurens County,4.9,79.0,11.4,21800.5,37488.0,34.3875,-82.1989,35164.5
1,29697,13071.0,SC,Anderson County,5.8,83.7,15.2,42533.0,32589.5,34.5997,-82.4953,47735.0
2,29710,33542.0,SC,York County,9.4,89.1,30.8,53350.33,44576.33,35.1047,-81.1734,62743.33
2,29715,28920.0,SC,York County,11.8,91.9,38.8,185606.5,52341.5,35.0156,-80.9559,101547.0
3,29720,46788.0,SC,Lancaster County,5.7,81.0,14.4,37946.33,39767.33,34.7195,-80.7411,49383.33
2,29728,10431.0,SC,Chesterfield County,3.4,73.4,9.0,29443.5,36741.5,34.7742,-80.3713,39297.0
3,29730,53976.0,SC,York County,6.9,84.6,22.2,37317.0,38391.0,34.8913,-81.013,45997.5
2,29732,56410.0,SC,York County,11.4,91.4,33.1,50738.5,51372.33,34.9566,-81.0437,66284.17
3,29745,30649.0,SC,York County,6.7,85.3,18.1,44611.0,53597.0,34.9915,-81.263,54418.0
1,29801,27543.0,SC,Aiken County,7.4,82.4,22.2,43035.25,45266.5,33.5978,-81.6321,56089.75
2,29803,37139.0,SC,Aiken County,19.0,94.0,44.5,300000.0,62415.5,33.4982,-81.7035,91501.0
1,29851,7080.0,SC,Aiken County,2.2,80.8,10.8,26970.5,20480.0,33.5194,-81.8371,33016.0
1,29902,15675.0,SC,Beaufort County,13.9,90.8,30.9,300000.0,26072.0,32.4173,-80.6903,45201.0
1,29907,13587.0,SC,Beaufort County,18.9,91.1,39.5,44225.0,38931.0,32.4454,-80.6343,55818.0
1,29910,37915.0,SC,Beaufort County,14.5,92.3,40.2,132220.0,56823.67,32.2101,-80.8535,84855.0
2,29926,25432.0,SC,Beaufort County,20.4,93.4,49.4,125188.25,58326.0,32.2024,-80.7173,82064.75
1,29935,3775.0,SC,Beaufort County,14.6,90.9,27.1,48745.0,42856.0,32.3555,-80.7005,58076.0
4,29936,13677.0,SC,Jasper County,4.5,82.6,13.9,39226.0,34086.5,32.5424,-80.9896,45567.0
2,30004,61418.0,GA,Fulton County,24.0,95.8,61.7,129067.8,64930.8,34.1049,-84.3083,105694.6
1,30008,33900.0,GA,Cobb County,7.0,79.6,22.5,51607.5,48371.5,33.9001,-84.5848,62869.0
1,30013,26487.0,GA,Rockdale County,8.6,89.7,28.4,52927.0,50441.0,33.6146,-83.9964,69046.0
4,30014,37656.0,GA,Newton County,7.4,82.9,19.2,35832.33,42361.67,33.5939,-83.8613,46887.67
2,30019,47792.0,GA,Gwinnett County,13.2,94.8,36.6,88431.25,64837.75,34.016999999999996,-83.9187,99681.5
2,30024,73917.0,GA,Gwinnett County,20.4,96.1,58.6,145821.25,63817.25,34.031,-84.0665,110440.75
1,30030,27549.0,GA,DeKalb County,34.7,94.8,68.2,197767.5,72998.0,33.7695,-84.2975,111227.5
6,30032,48724.0,GA,DeKalb County,6.8,83.5,20.0,39857.6,38935.8,33.7296,-84.2645,47971.4
1,30033,31511.0,GA,DeKalb County,31.4,91.6,63.9,42741.0,46456.0,33.8183,-84.2661,51567.5
2,30034,44266.0,GA,DeKalb County,10.1,90.8,26.6,39363.0,28953.0,33.6954,-84.2133,46723.0
1,30038,42433.0,GA,DeKalb County,10.0,91.3,32.4,300000.0,51000.0,33.6693,-84.1235,61208.0
3,30041,59660.0,GA,Forsyth County,18.8,94.0,54.2,206542.83,63514.0,34.1533,-84.1325,121741.17
2,30043,87045.0,GA,Gwinnett County,10.9,89.8,35.5,52113.0,54378.0,33.9742,-84.0295,64226.0
2,30044,87791.0,GA,Gwinnett County,10.4,83.9,30.7,55480.0,40296.67,33.9234,-84.0382,59968.67
1,30045,35075.0,GA,Gwinnett County,10.7,90.0,35.0,114201.5,48120.5,33.9468,-84.0004,69688.5
2,30047,64431.0,GA,Gwinnett County,14.3,84.2,35.9,48925.6,48765.2,33.8744,-84.1191,63445.8
2,30052,62755.0,GA,Walton County,8.7,90.8,24.2,173908.5,27608.5,33.7704,-83.8882,51882.0
2,30058,54918.0,GA,DeKalb County,9.1,90.6,25.5,132190.33,32217.0,33.7311,-84.1441,49154.67
4,30060,38472.0,GA,Cobb County,5.7,72.1,20.6,34401.33,44088.33,33.9355,-84.5456,47583.33
1,30064,47949.0,GA,Cobb County,16.9,94.7,46.2,64165.6,60918.0,33.9349,-84.602,80495.2
5,30066,53666.0,GA,Cobb County,15.5,95.6,50.5,113928.43,61959.57,34.0387,-84.5021,95989.43
1,30067,48404.0,GA,Cobb County,17.4,92.3,49.2,67571.0,48285.0,33.9369,-84.4786,72992.0
3,30071,24579.0,GA,Gwinnett County,6.7,70.9,21.7,54109.33,44330.33,33.9344,-84.2118,59908.0
3,30075,54529.0,GA,Fulton County,22.4,96.7,64.1,104502.0,69056.67,34.0538,-84.3977,111869.33
2,30076,44177.0,GA,Fulton County,16.0,88.8,49.8,50858.0,46116.0,34.0405,-84.3328,62343.0
2,30078,33469.0,GA,Gwinnett County,13.7,93.8,37.4,156983.0,52022.6,33.8646,-84.0192,82787.4
1,30080,55746.0,GA,Cobb County,20.0,90.8,52.7,145603.33,59254.0,33.8793,-84.4867,91204.33
2,30083,56038.0,GA,DeKalb County,8.0,85.8,23.5,40593.33,36041.33,33.7756,-84.2089,48219.67
1,30084,36829.0,GA,DeKalb County,18.9,85.3,44.8,121566.0,52422.4,33.8519,-84.2182,80525.2
3,30092,34427.0,GA,Gwinnett County,18.1,94.5,51.9,87632.0,51707.5,33.9549,-84.255,89133.0
2,30094,33029.0,GA,Rockdale County,10.7,90.7,30.0,183870.5,53797.5,33.6165,-84.0443,83037.0
1,30097,46663.0,GA,Fulton County,26.7,94.4,62.3,112344.0,70995.0,34.0531,-84.167,119811.0
1,30101,57244.0,GA,Cobb County,12.4,93.4,40.8,151764.67,52693.67,34.0536,-84.6726,89398.33
1,30102,38841.0,GA,Cherokee County,8.4,86.1,28.8,73985.0,58158.0,34.0645,-84.5781,88795.0
1,30103,16186.0,GA,Bartow County,4.7,81.9,13.3,55242.0,37762.0,34.3422,-84.9182,53935.0
1,30106,19952.0,GA,Cobb County,9.5,90.5,28.0,167714.0,39421.0,33.8549,-84.60799999999999,55200.5
5,30114,52268.0,GA,Cherokee County,10.4,86.9,32.8,300000.0,62623.0,34.1687,-84.5414,98943.0
1,30115,38817.0,GA,Cherokee County,10.9,93.4,35.9,85697.67,63914.0,34.1888,-84.3874,99853.33
1,30125,24481.0,GA,Polk County,4.9,74.1,13.1,27568.5,36894.5,33.9944,-85.2765,44869.0
1,30134,42816.0,GA,Douglas County,8.4,84.4,20.9,143619.0,34999.0,33.7728,-84.7628,56273.8
2,30135,63790.0,GA,Douglas County,12.4,90.3,31.0,147079.67,51200.0,33.7171,-84.7079,74701.33
1,30141,22249.0,GA,Paulding County,8.7,88.8,22.7,46429.0,43387.0,33.881,-84.7871,52089.0
1,30143,21695.0,GA,Pickens County,10.5,84.7,28.7,50930.0,43486.0,34.4935,-84.5581,60303.0
2,30144,54078.0,GA,Cobb County,14.0,94.0,43.4,300000.0,53833.0,34.0408,-84.6115,86642.0
1,30152,43842.0,GA,Cobb County,14.3,93.2,47.8,75367.0,62069.0,34.0098,-84.6329,87212.0
2,30153,18506.0,GA,Polk County,4.9,81.7,11.1,30825.5,35977.5,34.0139,-85.0399,44585.5
2,30161,34480.0,GA,Floyd County,8.9,79.8,21.6,30827.25,35933.25,34.2786,-85.1315,42200.25
2,30165,41034.0,GA,Floyd County,8.8,80.2,21.5,175569.5,44166.5,34.2858,-85.2617,54440.5
3,30188,59061.0,GA,Cherokee County,12.6,93.2,39.9,191054.0,51833.5,34.0957,-84.4859,87111.5
1,30189,36941.0,GA,Cherokee County,13.8,94.2,43.4,89976.33,62438.33,34.1322,-84.5819,98791.67
1,30213,30646.0,GA,Fulton County,10.6,89.6,24.6,53160.0,43411.5,33.5599,-84.5994,62930.5
3,30214,29403.0,GA,Fayette County,14.1,91.3,37.7,65232.0,52115.0,33.4602,-84.416,72166.0
4,30223,37445.0,GA,Spalding County,3.8,78.3,12.1,33825.5,35099.0,33.2721,-84.3015,44705.0
3,30233,22363.0,GA,Butts County,3.6,77.4,11.0,45714.5,45727.5,33.2748,-84.0032,57564.0
2,30236,47023.0,GA,Clayton County,7.9,85.8,21.6,49738.67,39431.33,33.5469,-84.3173,53870.33
2,30240,29423.0,GA,Troup County,10.1,86.9,25.4,33000.67,39371.0,32.999,-85.0884,48207.33
1,30252,43256.0,GA,Henry County,12.0,92.5,30.0,78143.0,53721.0,33.4103,-83.9956,84165.0
2,30253,52663.0,GA,Henry County,10.7,89.5,28.4,112953.25,50794.75,33.4596,-84.1459,66243.0
1,30260,26934.0,GA,Clayton County,4.6,78.6,15.3,35844.0,37420.5,33.5808,-84.3306,44877.5
1,30265,34025.0,GA,Coweta County,12.0,93.6,38.0,66154.0,47721.5,33.397,-84.7057,71940.5
2,30268,9942.0,GA,Fulton County,8.0,80.4,20.6,300000.0,26827.0,33.5546,-84.7261,51506.0
1,30269,35499.0,GA,Fayette County,20.8,96.5,56.7,155938.33,60001.67,33.3923,-84.5675,92318.67
1,30274,34553.0,GA,Clayton County,5.0,86.1,17.3,34136.0,38627.67,33.5527,-84.3927,45235.67
1,30276,14922.0,GA,Coweta County,9.1,89.3,28.2,300000.0,63774.0,33.2835,-84.54299999999999,92982.0
5,30281,69716.0,GA,Henry County,8.7,89.1,27.1,189530.75,49350.75,33.5589,-84.2109,77978.5
1,30294,40317.0,GA,DeKalb County,9.4,89.9,27.1,136584.33,45577.33,33.6506,-84.2769,63710.67
1,30295,4200.0,GA,Pike County,6.2,89.3,12.9,39586.0,31417.5,33.0682,-84.3976,44248.0
2,30303,6577.0,GA,Fulton County,7.2,79.7,24.5,52296.0,48895.0,33.7509,-84.3917,58996.0
1,30305,23064.0,GA,Fulton County,33.2,97.4,78.7,203599.25,80535.75,33.8264,-84.3834,132522.25
1,30308,17036.0,GA,Fulton County,35.2,94.4,68.2,51342.0,46539.0,33.7663,-84.3781,55929.0
1,30309,23029.0,GA,Fulton County,38.7,98.0,75.5,89122.33,68414.67,33.7829,-84.3777,101692.0
1,30311,36789.0,GA,Fulton County,8.4,84.9,20.0,38384.25,36374.75,33.7281,-84.4552,46370.25
1,30316,31654.0,GA,DeKalb County,19.5,88.1,42.4,52622.0,55424.0,33.7214,-84.3487,69990.5
1,30318,49277.0,GA,Fulton County,21.3,90.5,49.4,53472.5,41519.0,33.8049,-84.4609,60823.25
3,30328,35998.0,GA,Fulton County,27.8,97.1,69.4,83733.0,65553.5,33.9313,-84.3856,98212.0
3,30329,28486.0,GA,DeKalb County,22.9,83.0,49.7,40013.5,51130.0,33.8465,-84.3161,59090.75
3,30331,63496.0,GA,Fulton County,14.6,87.4,30.3,37653.5,41129.5,33.7299,-84.5123,49861.0
1,30337,13431.0,GA,Fulton County,8.1,85.8,24.7,20011.0,23937.0,33.6455,-84.4694,30142.0
3,30338,34411.0,GA,DeKalb County,33.1,97.7,72.3,300000.0,79327.0,33.9414,-84.3127,114678.0
2,30341,31160.0,GA,DeKalb County,19.6,84.0,49.4,43173.0,41648.33,33.894,-84.3037,54242.33
1,30344,33494.0,GA,Fulton County,9.1,89.0,27.1,34878.8,30525.2,33.6795,-84.4703,40160.6
1,30345,24971.0,GA,DeKalb County,25.8,84.2,53.9,132430.0,83858.0,33.8342,-84.2977,139088.0
1,30349,69996.0,GA,Fulton County,10.9,91.6,32.0,47034.4,40961.4,33.6083,-84.48200000000001,53775.8
4,30350,37211.0,GA,Fulton County,17.9,95.3,52.2,176627.0,59774.5,33.96,-84.359,86003.5
6,30401,13227.0,GA,Emanuel County,6.4,80.4,13.0,27485.0,35749.0,32.4663,-82.3369,44110.0
1,30453,10121.0,GA,Tattnall County,3.8,69.5,7.1,300000.0,43730.0,32.0093,-82.1406,42310.0
4,30458,43039.0,GA,Bulloch County,14.2,86.9,32.4,27179.33,27720.67,32.3881,-81.8367,34530.0
2,30474,17135.0,GA,Toombs County,8.0,82.2,19.0,65872.5,48829.5,32.2298,-82.3719,74173.0
3,30501,28488.0,GA,Hall County,7.6,68.8,19.3,26622.0,51773.0,34.3186,-83.8335,47365.5
1,30512,19851.0,GA,Union County,9.7,88.3,21.9,40735.5,42174.5,34.8993,-83.9707,50226.0
3,30513,11036.0,GA,Fannin County,6.5,87.6,17.7,37675.5,34718.0,34.9062,-84.3423,46424.5
1,30517,12832.0,GA,Jackson County,13.4,87.2,35.8,188159.5,56293.0,34.1251,-83.7903,91985.5
4,30518,49192.0,GA,Gwinnett County,9.9,86.5,32.8,70544.0,61166.5,34.1324,-84.0122,82629.0
1,30519,45128.0,GA,Gwinnett County,11.8,89.0,35.3,73875.0,51687.0,34.1483,-83.955,82304.0
3,30534,29045.0,GA,Dawson County,9.7,84.1,27.7,51062.0,57300.5,34.3827,-83.98700000000001,66040.5
2,30540,18746.0,GA,Gilmer County,6.6,77.5,17.7,41615.0,38382.0,34.7777,-84.5188,48694.0
4,30542,36649.0,GA,Hall County,9.9,87.9,27.6,60688.0,53049.0,34.1713,-83.9187,70659.0
1,30549,23126.0,GA,Jackson County,7.1,83.8,21.9,64488.0,54283.0,34.1385,-83.6098,76551.0
1,30566,7507.0,GA,Hall County,8.4,78.9,20.6,67443.0,60039.0,34.2401,-83.9152,86049.0
2,30605,41295.0,GA,Clarke County,28.6,91.8,51.7,32992.0,45934.0,33.9209,-83.3511,47838.8
2,30606,41696.0,GA,Clarke County,24.6,90.0,48.6,57926.4,50073.2,33.9585,-83.4256,67474.4
1,30655,24638.0,GA,Walton County,4.9,83.0,17.8,49959.0,49389.0,33.7552,-83.7082,62066.0
2,30662,8995.0,GA,Franklin County,4.8,79.1,13.1,33689.33,42830.0,34.2756,-83.1546,47526.0
4,30680,41082.0,GA,Barrow County,5.4,83.3,16.1,45380.0,36817.5,33.9967,-83.7201,54583.25
1,30701,39321.0,GA,Gordon County,6.1,76.5,15.0,48045.67,46243.0,34.5325,-84.86200000000001,57365.67
1,30707,15685.0,GA,Walker County,3.7,84.4,13.4,48600.0,41189.5,34.8528,-85.3421,54647.0
2,30720,28582.0,GA,Whitfield County,7.8,73.9,22.6,104771.5,49904.75,34.7435,-84.977,63307.25
1,30721,53704.0,GA,Whitfield County,2.6,60.2,8.4,34225.4,39251.0,34.7933,-84.9075,47416.4
1,30736,42090.0,GA,Catoosa County,7.8,88.3,23.9,64915.0,52833.0,34.884,-85.214,75157.0
1,30741,29792.0,GA,Walker County,3.0,78.1,10.7,24694.25,32072.25,34.8306,-85.26700000000001,37395.0
1,30742,7902.0,GA,Catoosa County,4.8,88.3,13.4,14904.0,37796.0,34.9286,-85.2426,29242.0
1,30747,15996.0,GA,Chattooga County,4.8,74.4,11.6,13090.0,26877.0,34.4708,-85.3315,22544.0
1,30752,8227.0,GA,Dade County,4.0,77.5,10.5,35560.5,38602.5,34.9026,-85.4869,47436.0
1,30809,44679.0,GA,Columbia County,17.7,93.8,42.5,169877.6,49546.2,33.5446,-82.12700000000001,86398.8
5,30830,14378.0,GA,Burke County,6.1,81.4,13.1,15420.0,32472.0,33.0807,-82.1004,31299.0
1,30901,15849.0,GA,Richmond County,4.1,70.6,11.6,20246.0,27021.0,33.4676,-81.9804,28989.67
1,30904,24765.0,GA,Richmond County,11.0,81.5,27.4,24638.0,44782.0,33.471,-82.001,39869.0
1,30906,59945.0,GA,Richmond County,3.8,78.5,10.1,29444.2,27383.8,33.4232,-82.0343,37438.8
2,30907,51665.0,GA,Columbia County,14.7,92.7,35.8,72638.5,64446.5,33.5007,-82.0962,87258.0
2,30909,43080.0,GA,Richmond County,14.5,89.8,34.8,172769.25,49558.0,33.4903,-82.042,73866.75
1,31005,18253.0,GA,Houston County,12.0,94.7,28.5,98042.0,55776.0,32.5402,-83.5853,95423.0
1,31021,28060.0,GA,Laurens County,9.4,86.7,18.7,25613.0,48243.0,32.5355,-82.9288,43999.0
1,31028,5779.0,GA,Houston County,11.1,89.4,26.1,62610.0,55047.0,32.6395,-83.7035,74854.0
2,31029,17109.0,GA,Monroe County,9.1,81.5,20.9,36887.0,37916.0,33.0929,-83.8542,43869.0
2,31030,18124.0,GA,Peach County,9.2,81.0,20.7,41740.0,37879.5,32.4692,-83.9034,47950.0
1,31032,14298.0,GA,Jones County,10.0,89.8,25.0,49668.0,44253.0,33.095,-83.5971,57274.0
1,31069,19439.0,GA,Houston County,8.3,91.0,22.8,64217.0,64457.0,32.4584,-83.6629,80802.0
2,31093,30742.0,GA,Houston County,5.3,84.6,15.2,20337.0,31775.0,32.6417,-83.6198,32770.0
1,31201,8774.0,GA,Bibb County,10.1,73.0,21.7,13287.0,29432.0,32.8338,-83.6359,26122.0
1,31204,29454.0,GA,Bibb County,8.8,83.2,21.5,75931.6,36402.0,32.8489,-83.6635,39688.0
1,31206,28902.0,GA,Bibb County,2.3,75.7,10.1,19887.67,30683.33,32.7967,-83.6606,29661.67
4,31210,33887.0,GA,Bibb County,21.8,94.3,47.2,55280.75,52673.5,32.8856,-83.7246,68310.5
1,31211,15803.0,GA,Bibb County,9.4,86.3,21.1,23194.0,19927.5,32.8595,-83.5856,26058.5
2,31313,41642.0,GA,Liberty County,6.1,91.8,19.4,40009.0,33892.0,31.8198,-81.61,46869.0
1,31322,24546.0,GA,Chatham County,12.6,93.1,34.2,57712.0,45885.0,32.0986,-81.2475,66620.0
1,31324,23905.0,GA,Bryan County,14.8,94.6,40.7,75575.0,53963.5,31.7791,-81.2554,86999.0
3,31326,19858.0,GA,Effingham County,7.0,90.5,24.3,61475.5,54022.0,32.2826,-81.1722,73000.5
2,31404,31771.0,GA,Chatham County,8.0,84.8,21.4,32857.5,35268.5,32.0478,-81.0654,42994.5
1,31405,37042.0,GA,Chatham County,14.2,88.7,34.7,81105.5,41565.33,32.0457,-81.1403,48126.83
2,31406,35691.0,GA,Chatham County,11.5,88.3,30.4,39165.0,46213.33,31.9801,-81.1182,49525.67
2,31410,23777.0,GA,Chatham County,16.1,96.2,45.1,74180.67,67221.33,31.9952,-80.9933,92171.67
1,31419,58640.0,GA,Chatham County,12.1,90.3,32.2,141533.33,35927.0,31.9799,-81.1852,55166.0
2,31501,15394.0,GA,Ware County,6.1,83.0,14.8,24833.5,36772.5,31.2203,-82.3368,35504.0
5,31520,22167.0,GA,Glynn County,6.2,80.7,16.0,22364.0,64069.0,31.1604,-81.4808,50162.5
1,31522,15956.0,GA,Glynn County,22.6,96.1,56.8,88422.0,67035.0,31.1727,-81.3849,109183.0
1,31525,29240.0,GA,Glynn County,7.7,87.8,21.2,37016.0,56669.0,31.2244,-81.4522,58317.67
2,31533,16531.0,GA,Coffee County,8.2,79.3,17.5,23895.0,50837.0,31.5451,-82.8868,42708.0
3,31601,34567.0,GA,Lowndes County,4.6,73.5,13.2,29634.6,32284.8,30.8134,-83.3024,36985.2
3,31602,35430.0,GA,Lowndes County,12.9,89.1,29.6,58967.33,47111.33,30.8712,-83.2854,68311.33
1,31605,21238.0,GA,Lowndes County,15.0,92.6,36.8,34204.0,41816.0,31.015,-83.2452,46829.0
2,31643,8848.0,GA,Brooks County,4.7,79.3,13.3,31573.0,30804.0,30.8423,-83.5478,38893.5
1,31701,19199.0,GA,Dougherty County,4.3,74.7,12.3,70117.67,31729.83,31.5966,-84.1622,38482.0
4,31707,25733.0,GA,Dougherty County,11.8,88.5,25.1,36330.0,41473.5,31.5858,-84.2086,46432.0
1,31730,8947.0,GA,Mitchell County,5.6,79.1,18.6,28648.0,35762.0,31.2239,-84.2202,37319.0
3,31792,25008.0,GA,Thomas County,11.3,82.6,25.3,29332.0,30480.2,30.8318,-83.9578,37158.0
6,31794,25572.0,GA,Tift County,7.6,80.6,14.8,166769.5,41292.5,31.4719,-83.4766,54197.0
2,31904,33643.0,GA,Muscogee County,13.3,86.0,30.9,43320.0,38209.0,32.5106,-84.9729,50821.5
1,31905,20993.0,GA,Chattahoochee County,7.4,97.4,34.1,52960.0,40465.0,32.3594,-84.9557,60883.5
1,31906,21408.0,GA,Muscogee County,8.5,84.5,23.5,31323.75,38742.5,32.4675,-84.9584,42312.25
2,31907,57410.0,GA,Muscogee County,8.2,88.7,19.3,39648.75,42244.75,32.4758,-84.8974,50836.0
5,31909,38559.0,GA,Muscogee County,12.3,94.2,34.6,137245.67,37353.0,32.5376,-84.9133,59721.67
1,32073,39378.0,FL,Clay County,6.6,92.4,23.0,55276.14,45858.0,30.1391,-81.7245,65049.86
4,32084,33844.0,FL,St. Johns County,8.1,90.0,25.8,45312.5,42182.5,29.875999999999998,-81.3155,56180.5
1,32091,14923.0,FL,Bradford County,2.8,81.2,10.8,46973.0,53664.0,29.9814,-82.1955,64434.0
1,32092,31189.0,FL,St. Johns County,14.0,92.9,42.2,54052.0,48675.0,29.894000000000002,-81.5118,66488.0
1,32114,31385.0,FL,Volusia County,5.3,84.4,17.3,84233.4,33465.0,29.1981,-81.0401,37164.2
1,32117,24498.0,FL,Volusia County,4.2,85.4,13.2,25925.33,28185.33,29.2419,-81.0724,33808.67
1,32118,16820.0,FL,Volusia County,11.5,91.7,32.6,28511.0,41026.0,29.2619,-81.0271,46598.0
2,32127,30205.0,FL,Volusia County,9.7,90.4,24.3,45669.75,53877.75,29.1198,-80.9876,60594.5
1,32136,7574.0,FL,Flagler County,13.2,93.5,34.5,36323.0,45689.0,29.5172,-81.1477,51038.0
3,32168,24902.0,FL,Volusia County,8.6,89.9,24.3,39311.0,38166.0,29.0245,-80.9314,48009.5
2,32174,49085.0,FL,Volusia County,11.7,93.4,28.8,38854.0,43979.5,29.3164,-81.0685,51070.5
1,32177,25628.0,FL,Putnam County,4.6,81.4,13.5,30383.0,33116.75,29.64,-81.6888,39220.5
1,32207,34770.0,FL,Duval County,11.5,86.1,31.9,37781.0,43769.5,30.2963,-81.6322,50384.5
2,32216,38358.0,FL,Duval County,8.5,88.7,31.6,46295.67,46764.0,30.2803,-81.5892,60247.33
1,32217,18938.0,FL,Duval County,12.3,88.4,34.7,16659.0,27068.0,30.2519,-81.6085,26764.0
1,32218,57754.0,FL,Duval County,5.4,88.6,19.9,104894.75,46362.75,30.4685,-81.6512,56549.5
1,32219,11413.0,FL,Duval County,4.2,84.9,14.5,27197.0,44810.0,30.3957,-81.7353,37429.0
1,32223,24424.0,FL,Duval County,15.5,94.9,41.5,85950.0,49773.0,30.1648,-81.6153,90677.0
2,32225,53545.0,FL,Duval County,10.5,93.7,33.2,74355.33,53767.33,30.3541,-81.5016,82235.33
1,32234,6100.0,FL,Duval County,1.8,81.0,9.2,35084.0,24709.0,30.2738,-81.9401,40461.0
1,32244,60694.0,FL,Duval County,5.2,89.6,20.5,48824.0,38636.6,30.221,-81.7583,54565.4
2,32246,51598.0,FL,Duval County,8.7,89.4,30.9,50776.33,39194.67,30.2888,-81.5135,58534.0
2,32256,42388.0,FL,Duval County,18.6,95.3,49.6,51507.0,56235.0,30.199,-81.5302,69317.0
1,32257,37498.0,FL,Duval County,10.8,93.8,35.5,126366.0,43766.33,30.1965,-81.6101,58797.0
1,32259,45503.0,FL,St. Johns County,18.0,97.8,53.7,66559.33,42457.17,30.0828,-81.6277,73375.5
2,32277,28645.0,FL,Duval County,6.0,91.7,24.6,42273.0,39477.0,30.3611,-81.5815,51362.0
3,32301,29860.0,FL,Leon County,18.9,93.2,43.6,44972.5,34521.5,30.4307,-84.2379,52231.0
1,32303,49584.0,FL,Leon County,15.2,93.7,41.2,90642.2,45003.0,30.4805,-84.3238,55488.2
4,32304,46660.0,FL,Leon County,11.4,83.6,28.8,15801.5,33405.5,30.4498,-84.3104,24438.5
1,32311,19984.0,FL,Leon County,24.5,94.5,50.6,38546.0,31642.0,30.4312,-84.2177,43979.0
